Generation,Fitness
1,434.0
2,449.0
3,469.0
4,477.0
5,487.0
6,490.0
7,497.0
8,500.0
9,507.0
10,513.0
11,517.0
12,519.0
13,524.0
14,529.0
15,532.0
16,536.0
17,539.0
18,543.0
19,547.0
20,551.0
21,555.0
22,561.0
23,564.0
24,567.0
25,572.0
26,576.0
27,580.0
28,589.0
29,592.0
30,595.0
31,599.0
32,603.0
33,606.0
34,610.0
35,612.0
36,615.0
37,619.0
38,625.0
39,627.0
40,630.0
41,633.0
42,639.0
43,642.0
44,646.0
45,652.0
46,656.0
47,658.0
48,661.0
49,664.0
50,669.0
51,674.0
52,677.0
53,680.0
54,684.0
55,688.0
56,693.0
57,696.0
58,700.0
59,706.0
60,709.0
61,712.0
62,718.0
63,725.0
64,728.0
65,730.0
66,732.0
67,736.0
68,739.0
69,743.0
70,746.0
71,749.0
72,752.0
73,755.0
74,759.0
75,763.0
76,766.0
77,770.0
78,773.0
79,775.0
80,780.0
81,782.0
82,785.0
83,788.0
84,792.0
85,797.0
86,799.0
87,804.0
88,806.0
89,809.0
90,812.0
91,814.0
92,818.0
93,822.0
94,825.0
95,828.0
96,831.0
97,834.0
98,837.0
99,840.0
100,844.0
101,847.0
102,850.0
103,854.0
104,857.0
105,861.0
106,865.0
107,869.0
108,870.0
109,873.0
110,874.0
111,878.0
112,883.0
113,886.0
114,890.0
115,895.0
116,898.0
117,902.0
118,905.0
119,907.0
120,910.0
121,914.0
122,918.0
123,920.0
124,922.0
125,925.0
126,929.0
127,933.0
128,937.0
129,941.0
130,944.0
131,950.0
132,952.0
133,955.0
134,958.0
135,962.0
136,967.0
137,969.0
138,972.0
139,975.0
140,978.0
141,980.0
142,984.0
143,988.0
144,990.0
145,994.0
146,998.0
147,1001.0
148,1004.0
149,1006.0
150,1009.0
151,1013.0
152,1017.0
153,1024.0
154,1027.0
155,1029.0
156,1032.0
157,1034.0
158,1037.0
159,1041.0
160,1044.0
161,1048.0
162,1051.0
163,1053.0
164,1057.0
165,1062.0
166,1067.0
167,1071.0
168,1074.0
169,1077.0
170,1079.0
171,1082.0
172,1086.0
173,1090.0
174,1094.0
175,1097.0
176,1099.0
177,1103.0
178,1106.0
179,1108.0
180,1112.0
181,1115.0
182,1119.0
183,1123.0
184,1126.0
185,1129.0
186,1131.0
187,1133.0
188,1135.0
189,1138.0
190,1144.0
191,1145.0
192,1147.0
193,1150.0
194,1153.0
195,1156.0
196,1159.0
197,1165.0
198,1168.0
199,1173.0
200,1176.0
201,1178.0
202,1181.0
203,1185.0
204,1187.0
205,1189.0
206,1193.0
207,1195.0
208,1199.0
209,1201.0
210,1203.0
211,1205.0
212,1207.0
213,1211.0
214,1216.0
215,1220.0
216,1223.0
217,1228.0
218,1230.0
219,1232.0
220,1234.0
221,1237.0
222,1239.0
223,1242.0
224,1245.0
225,1249.0
226,1253.0
227,1258.0
228,1259.0
229,1261.0
230,1263.0
231,1268.0
232,1269.0
233,1272.0
234,1277.0
235,1279.0
236,1283.0
237,1285.0
238,1289.0
239,1291.0
240,1295.0
241,1297.0
242,1300.0
243,1306.0
244,1310.0
245,1312.0
246,1316.0
247,1318.0
248,1322.0
249,1326.0
250,1328.0
251,1330.0
252,1333.0
253,1335.0
254,1339.0
255,1343.0
256,1349.0
257,1351.0
258,1353.0
259,1356.0
260,1360.0
261,1362.0
262,1365.0
263,1369.0
264,1371.0
265,1375.0
266,1377.0
267,1382.0
268,1385.0
269,1388.0
270,1392.0
271,1394.0
272,1398.0
273,1404.0
274,1408.0
275,1410.0
276,1412.0
277,1415.0
278,1417.0
279,1421.0
280,1424.0
281,1426.0
282,1430.0
283,1432.0
284,1436.0
285,1439.0
286,1444.0
287,1446.0
288,1450.0
289,1454.0
290,1456.0
291,1460.0
292,1464.0
293,1470.0
294,1474.0
295,1478.0
296,1482.0
297,1484.0
298,1490.0
299,1494.0
300,1496.0
301,1500.0
302,1504.0
303,1508.0
304,1514.0
305,1518.0
306,1522.0
307,1529.0
308,1531.0
309,1535.0
310,1538.0
311,1542.0
312,1545.0
313,1549.0
314,1552.0
315,1558.0
316,1561.0
317,1565.0
318,1568.0
319,1572.0
320,1575.0
321,1577.0
322,1581.0
323,1585.0
324,1587.0
