Generation,Fitness
1,429
2,442
3,459
4,468
5,479
6,489
7,502
8,509
9,510
10,516
11,522
12,526
13,530
14,533
15,536
16,541
17,544
18,548
19,551
20,556
21,559
22,563
23,566
24,569
25,573
26,577
27,580
28,584
29,589
30,593
31,597
32,600
33,604
34,607
35,610
36,614
37,617
38,621
39,625
40,629
41,632
42,636
43,641
44,645
45,648
46,652
47,654
48,657
49,661
50,667
51,670
52,674
53,678
54,681
55,686
56,691
57,693
58,697
59,702
60,705
61,709
62,713
63,716
64,720
65,725
66,728
67,731
68,736
69,742
70,745
71,748
72,750
73,754
74,759
75,761
76,764
77,767
78,770
79,773
80,777
81,779
82,782
83,787
84,788
85,793
86,796
87,802
88,806
89,808
90,811
91,814
92,817
93,819
94,822
95,827
96,831
97,834
98,837
99,840
100,844
101,847
102,850
103,853
104,856
105,859
106,862
107,868
108,872
109,873
110,877
111,879
112,882
113,885
114,889
115,891
116,895
117,898
118,903
119,907
120,910
121,912
122,916
123,919
124,922
125,926
126,928
127,932
128,938
129,942
130,945
131,953
132,957
133,959
134,966
135,969
136,971
137,978
138,981
139,984
140,992
141,995
142,996
143,999
144,1004
145,1007
146,1012
147,1014
148,1016
149,1019
150,1022
151,1024
152,1028
153,1031
154,1036
155,1037
156,1041
157,1043
158,1046
159,1049
160,1052
161,1057
162,1061
163,1063
164,1067
165,1069
166,1073
167,1076
168,1081
169,1087
170,1091
171,1093
172,1097
173,1098
174,1100
175,1103
176,1107
177,1113
178,1116
179,1119
180,1123
181,1125
182,1128
183,1130
184,1132
185,1133
186,1136
187,1139
188,1140
189,1143
190,1146
191,1150
192,1153
193,1155
194,1160
195,1163
196,1166
197,1167
198,1170
199,1175
200,1177
201,1179
202,1182
203,1184
204,1186
205,1188
206,1190
207,1193
208,1196
209,1199
210,1202
211,1207
212,1211
213,1213
214,1217
215,1220
216,1222
217,1224
218,1226
219,1230
220,1232
221,1236
222,1238
223,1240
224,1241
225,1242
226,1246
227,1248
228,1252
229,1254
230,1258
231,1260
232,1264
233,1268
234,1272
235,1274
236,1276
237,1280
238,1282
239,1286
240,1289
241,1291
242,1293
243,1299
244,1305
245,1310
246,1316
247,1318
248,1322
249,1326
250,1328
251,1332
252,1334
253,1336
254,1339
255,1341
256,1344
257,1348
258,1348
259,1350
260,1354
261,1357
262,1361
263,1365
264,1367
265,1370
266,1373
267,1376
268,1378
269,1380
270,1384
271,1388
272,1392
273,1392
274,1394
275,1396
276,1400
277,1402
278,1405
279,1409
280,1413
281,1415
282,1417
283,1419
284,1423
285,1427
286,1428
287,1431
288,1435
289,1438
290,1440
291,1442
292,1444
293,1446
294,1448
295,1449
296,1453
297,1455
298,1459
299,1461
300,1463
301,1466
302,1470
303,1472
304,1476
305,1480
306,1482
307,1488
308,1488
309,1490
310,1492
311,1494
312,1496
313,1500
314,1502
315,1504
316,1508
317,1510
318,1514
319,1518
320,1522
321,1525
322,1527
323,1529
324,1531
325,1534
326,1536
327,1539
328,1543
329,1547
330,1549
331,1551
332,1553
333,1557
334,1561
335,1565
336,1569
337,1573
338,1575
339,1577
340,1579
341,1583
342,1587
343,1591
344,1595
345,1599
346,1601
347,1609
348,1609
349,1611
350,1613
351,1617
352,1619
353,1621
354,1625
355,1627
356,1633
357,1635
358,1637
359,1641
360,1645
361,1647
362,1649
363,1653
364,1656
365,1661
366,1665
367,1667
368,1669
369,1671
370,1673
371,1675
372,1679
373,1681
374,1683
375,1687
376,1689
377,1693
378,1697
379,1701
380,1703
381,1709
382,1713
383,1715
384,1716
385,1721
386,1723
387,1727
388,1729
389,1731
390,1733
391,1735
392,1739
393,1741
394,1745
395,1747
396,1749
397,1751
398,1753
399,1755
400,1759
401,1763
402,1765
403,1768
404,1772
405,1777
406,1781
407,1784
408,1787
409,1789
410,1791
411,1795
412,1797
413,1801
414,1803
415,1805
416,1809
417,1813
418,1816
419,1817
420,1821
421,1823
422,1830
423,1833
424,1837
425,1841
426,1843
427,1845
428,1847
429,1847
430,1849
431,1853
432,1857
433,1861
434,1863
435,1865
436,1871
437,1871
438,1875
439,1877
440,1881
441,1885
442,1889
443,1893
444,1895
445,1895
446,1897
447,1901
448,1903
449,1907
450,1911
451,1919
452,1919
453,1923
454,1925
455,1927
456,1929
457,1933
458,1935
459,1939
460,1941
461,1945
462,1949
463,1951
464,1955
465,1957
466,1961
467,1965
468,1969
469,1975
470,1977
471,1979
472,1982
473,1984
474,1988
475,1990
476,1992
477,1996
478,1996
479,1998
480,2000
481,2002
482,2004
483,2006
484,2010
485,2014
486,2016
487,2020
488,2022
489,2026
490,2028
491,2030
492,2032
493,2038
494,2040
495,2042
496,2044
497,2046
498,2050
499,2052
500,2054
501,2057
502,2058
503,2060
504,2062
505,2066
506,2070
507,2074
508,2076
509,2078
510,2082
511,2084
512,2088
513,2092
514,2094
515,2097
516,2097
517,2101
518,2105
519,2109
520,2113
521,2117
522,2121
523,2123
524,2129
525,2131
526,2133
527,2137
528,2147
529,2151
530,2155
531,2157
532,2161
533,2163
534,2167
535,2175
536,2176
537,2179
538,2183
539,2185
540,2189
541,2193
542,2194
543,2195
544,2197
545,2200
546,2206
547,2210
548,2214
549,2217
550,2220
551,2222
552,2224
553,2226
554,2228
555,2232
556,2236
557,2240
558,2244
559,2246
560,2248
561,2251
562,2256
563,2258
564,2262
565,2266
566,2270
567,2271
568,2275
569,2279
570,2281
571,2285
572,2286
573,2287
574,2289
575,2293
576,2295
577,2299
578,2301
579,2305
580,2307
581,2311
582,2311
583,2313
584,2315
585,2319
586,2321
587,2323
588,2325
589,2329
590,2333
591,2337
592,2339
593,2341
594,2343
595,2345
596,2349
597,2353
598,2353
599,2357
600,2359
601,2361
602,2365
603,2367
604,2371
605,2375
606,2379
607,2382
608,2387
609,2388
610,2395
611,2395
612,2399
613,2401
614,2401
615,2405
616,2407
617,2409
618,2413
619,2415
620,2419
621,2422
622,2425
623,2429
624,2433
625,2437
626,2440
627,2443
628,2445
629,2447
630,2451
631,2456
632,2459
633,2461
634,2464
635,2467
636,2471
637,2473
638,2473
639,2475
640,2479
641,2483
642,2483
643,2485
644,2485
645,2489
646,2495
647,2497
648,2501
649,2505
650,2509
651,2510
652,2511
653,2516
654,2520
655,2521
656,2525
657,2528
658,2528
659,2532
660,2535
661,2538
662,2540
663,2542
664,2546
665,2550
666,2551
667,2555
668,2557
669,2559
670,2561
671,2561
672,2563
673,2567
674,2568
675,2571
676,2576
677,2580
678,2583
679,2585
680,2589
681,2593
682,2599
683,2603
684,2607
685,2607
686,2609
687,2609
688,2613
689,2614
690,2619
691,2622
692,2623
693,2626
694,2628
695,2630
696,2634
697,2638
698,2642
699,2644
700,2646
701,2650
702,2653
703,2656
704,2659
705,2661
706,2662
707,2664
708,2666
709,2668
710,2671
711,2673
712,2675
713,2677
714,2679
715,2681
716,2681
717,2685
718,2687
719,2691
720,2695
721,2695
722,2699
723,2699
724,2701
725,2703
726,2705
727,2707
728,2709
729,2711
730,2717
731,2721
732,2723
733,2725
734,2729
735,2731
736,2735
737,2741
738,2745
739,2753
740,2755
741,2759
742,2763
743,2763
744,2765
745,2765
746,2769
747,2769
748,2771
749,2771
750,2775
751,2779
752,2785
753,2787
754,2791
755,2793
756,2795
757,2795
758,2797
759,2797
760,2799
761,2801
762,2803
763,2805
764,2807
765,2811
766,2813
767,2815
768,2817
769,2819
770,2821
771,2823
772,2827
773,2831
774,2839
775,2843
776,2845
777,2849
778,2849
779,2849
780,2851
781,2853
782,2857
783,2861
784,2863
785,2867
786,2869
787,2870
788,2871
789,2875
790,2879
791,2883
792,2885
793,2887
794,2893
795,2895
796,2899
797,2902
798,2909
799,2911
800,2915
801,2919
802,2923
803,2929
804,2931
805,2935
806,2939
807,2943
808,2947
809,2951
810,2955
811,2959
812,2963
813,2967
814,2971
815,2975
816,2979
817,2983
818,2987
819,2991
820,2993
821,2999
822,3005
823,3009
824,3017
825,3018
826,3021
827,3023
828,3027
829,3029
830,3031
831,3033
832,3035
833,3039
834,3041
835,3041
836,3043
837,3043
838,3047
839,3049
840,3053
841,3055
842,3057
843,3059
844,3061
845,3065
846,3067
847,3073
848,3077
849,3079
850,3081
851,3083
852,3085
853,3087
854,3091
855,3095
856,3101
857,3107
858,3113
859,3115
860,3119
861,3121
862,3125
863,3127
864,3131
865,3133
866,3135
867,3139
868,3142
869,3144
870,3147
871,3150
872,3153
873,3157
874,3165
875,3165
876,3169
877,3171
878,3173
879,3173
880,3175
881,3179
882,3181
883,3185
884,3187
885,3189
886,3191
887,3195
888,3199
889,3203
890,3207
891,3209
892,3211
893,3211
894,3215
895,3215
896,3221
897,3221
898,3225
899,3227
900,3229
901,3231
902,3237
903,3239
904,3243
905,3247
906,3249
907,3251
908,3253
909,3257
910,3261
911,3263
912,3263
913,3267
914,3269
915,3275
916,3275
917,3279
918,3281
919,3281
920,3285
921,3285
922,3287
923,3289
924,3291
925,3293
926,3297
927,3299
928,3303
929,3305
930,3305
931,3309
932,3313
933,3313
934,3317
935,3319
936,3321
937,3321
938,3323
939,3323
940,3327
941,3329
942,3331
943,3335
944,3339
945,3341
946,3343
947,3345
948,3349
949,3355
950,3357
951,3359
952,3361
953,3363
954,3367
955,3370
956,3375
957,3377
958,3383
959,3385
960,3387
961,3391
962,3394
963,3398
964,3400
965,3401
966,3405
967,3407
968,3407
969,3411
970,3413
971,3417
972,3421
973,3425
974,3425
975,3429
976,3431
977,3435
978,3435
979,3439
980,3439
981,3441
982,3443
983,3445
984,3447
985,3451
986,3453
987,3455
988,3455
989,3459
990,3459
991,3459
992,3459
993,3459
994,3463
995,3463
996,3465
997,3467
998,3469
999,3473
1000,3477
1001,3477
1002,3481
1003,3481
1004,3485
1005,3488
1006,3491
1007,3495
1008,3498
1009,3500
1010,3502
1011,3506
1012,3509
1013,3512
1014,3515
1015,3517
